design_id,cost_cny,lambda_max,bottleneck,design
131,58300.0,1.418893709908554,voltage:3,01:H; 02:M; 23:H
132,58980.0,1.6732717146455303,voltage:3,01:H; 02:H; 23:L
133,61380.0,2.0835895743407824,voltage:3,01:H; 02:H; 23:M
134,64900.0,2.375,transformer,01:H; 02:H; 23:H
135,21900.0,0.31903380055410646,voltage:3,12:L; 13:L; 02:L
136,26400.0,0.4440922061983282,voltage:3,12:L; 13:L; 02:M
137,33000.0,0.5707258556885892,voltage:3,12:L; 13:L; 02:H
138,32220.0,0.3380744650838161,voltage:3,12:L; 13:M; 02:L
139,36720.0,0.4818699512025132,voltage:3,12:L; 13:M; 02:M
140,43320.0,0.6346712726226564,voltage:3,12:L; 13:M; 02:H
141,37500.0,0.34989475761314165,voltage:3,12:L; 13:H; 02:L
142,42000.0,0.5062463867516337,voltage:3,12:L; 13:H; 02:M
143,48600.0,0.677647797140138,voltage:3,12:L; 13:H; 02:H
144,29640.0,0.3595321642866356,voltage:3,12:M; 13:L; 02:L
145,34140.0,0.5266725902427453,voltage:3,12:M; 13:L; 02:M
146,40740.0,0.7147539199396524,voltage:3,12:M; 13:L; 02:H
147,39960.0,0.3838983187874397,voltage:3,12:M; 13:M; 02:L
148,44460.0,0.5806604344406856,voltage:3,12:M; 13:M; 02:M
149,51060.0,0.8179644501906471,voltage:3,12:M; 13:M; 02:H
150,45240.0,0.39921268258246123,voltage:3,12:M; 13:H; 02:L
151,49740.0,0.6164274430483999,voltage:3,12:M; 13:H; 02:M
152,56340.0,0.8907725458380823,voltage:3,12:M; 13:H; 02:H
153,33600.0,0.3873656273832328,voltage:3,12:H; 13:L; 02:L
154,38100.0,0.5886297243977884,voltage:3,12:H; 13:L; 02:M
155,44700.0,0.8338677337695612,voltage:3,12:H; 13:L; 02:H
156,43920.0,0.4157996451179846,voltage:3,12:H; 13:M; 02:L
157,48420.0,0.656889971345267,voltage:3,12:H; 13:M; 02:M
158,55020.0,0.9778085783728185,voltage:3,12:H; 13:M; 02:H
159,49200.0,0.4338247092328849,voltage:3,12:H; 13:H; 02:L
160,53700.0,0.7030376243927661,voltage:3,12:H; 13:H; 02:M
161,60300.0,1.083694746079972,voltage:3,12:H; 13:H; 02:H
162,33580.0,0.4083632647092563,voltage:1,12:L; 02:L; 23:L
163,35980.0,0.4083632647092563,voltage:1,12:L; 02:L; 23:M
164,39500.0,0.4083632647092563,voltage:1,12:L; 02:L; 23:H
165,38080.0,0.6385204327671568,voltage:1,12:L; 02:M; 23:L
166,40480.0,0.6385204327671568,voltage:1,12:L; 02:M; 23:M
167,44000.0,0.6385204327671568,voltage:1,12:L; 02:M; 23:H
168,44680.0,0.9376546915530164,voltage:1,12:L; 02:H; 23:L
169,47080.0,0.9376546915530164,voltage:1,12:L; 02:H; 23:M
170,50600.0,0.9376546915530164,voltage:1,12:L; 02:H; 23:H
171,41320.0,0.4488068032131899,voltage:1,12:M; 02:L; 23:L
172,43720.0,0.4488068032131899,voltage:1,12:M; 02:L; 23:M
173,47240.0,0.4488068032131899,voltage:1,12:M; 02:L; 23:H
174,45820.0,0.7432453560840775,voltage:1,12:M; 02:M; 23:L
175,48220.0,0.7432453560840775,voltage:1,12:M; 02:M; 23:M
176,51740.0,0.7432453560840775,voltage:1,12:M; 02:M; 23:H
177,52420.0,1.1822835049578209,voltage:1,12:M; 02:H; 23:L
178,54820.0,1.1822835049578209,voltage:1,12:M; 02:H; 23:M
179,58340.0,1.1822835049578209,voltage:1,12:M; 02:H; 23:H
180,45280.0,0.4504006596057974,voltage:3,12:H; 02:L; 23:L
181,47680.0,0.4754608155874367,voltage:1,12:H; 02:L; 23:M
182,51200.0,0.4754608155874367,voltage:1,12:H; 02:L; 23:H
183,49780.0,0.747626704077883,voltage:3,12:H; 02:M; 23:L
184,52180.0,0.8193073078700938,voltage:1,12:H; 02:M; 23:M
185,55700.0,0.8193073078700938,voltage:1,12:H; 02:M; 23:H
186,56380.0,1.1934085431898949,voltage:3,12:H; 02:H; 23:L
187,58780.0,1.3871292749823643,voltage:1,12:H; 02:H; 23:M
188,62300.0,1.3871292749823643,voltage:1,12:H; 02:H; 23:H
189,33580.0,0.3022425478933641,voltage:1,13:L; 02:L; 23:L
190,35980.0,0.33391663965028684,voltage:1,13:L; 02:L; 23:M
191,39500.0,0.354973307733279,voltage:1,13:L; 02:L; 23:H
192,38080.0,0.41221448981254344,voltage:1,13:L; 02:M; 23:L
193,40480.0,0.47346693272041057,voltage:1,13:L; 02:M; 23:M
194,44000.0,0.516947148393888,voltage:1,13:L; 02:M; 23:H
195,44680.0,0.5191321987325384,voltage:1,13:L; 02:H; 23:L
