global_iteration,query_number,outer_round,phase,iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
42,7,4,MP2,2,35,1.5668874267432231,1.5668874267432247,0.0,37640.0,1.5668874267432247,1.5668874267432231,01:H; 12:M; 13:H,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1.5668874267432247,1.5543122344752192e-15,False,,35,0.0,0.0,1.0,-0.0,0.0,accept,optimal
43,8,4,MP1,1,35,32360.0,32360.0,0.0,32360.0,1.5668874267432231,1.5668874267432231,01:H; 12:M; 13:M,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",32360.0,0.0,False,,35,0.0,0.0,1.0,-0.0,0.0,accept,optimal
44,9,5,MP2,1,35,1.227379636693424,1.227379636916163,0.0,26000.0,1.227379636916163,1.227379636693424,01:H; 12:H; 13:L,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1.227379636916163,2.2273893840463188e-10,False,,35,0.0,0.0,1.0,-0.0,0.0,accept,optimal
45,10,5,MP1,1,35,14300.0,14300.0,0.0,14300.0,1.227379636693424,1.2273796366934238,01:H; 12:L; 13:L,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",14300.0,0.0,False,,35,0.0,0.0,1.0,-0.0,0.0,accept,optimal
46,11,6,MP2,1,35,0.8466403292460464,1.0833333333333333,0.03420898607588805,9460.0,1.0833333333333333,0.8466403292460464,01:M; 12:L; 13:L,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1.0833333333333333,0.23669300408728688,True,36.0,36,-0.034208986075888015,8.673617379884035e-19,1.0,-0.0,3.469446951953614e-17,add_cut,optimal
47,11,6,MP2,2,36,0.8466403292460464,0.8466403292460472,0.0,9460.0,0.8466403292460472,0.8466403292460464,01:M; 12:L; 13:L,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.8466403292460472,7.771561172376096e-16,False,,36,1.3877787807814457e-17,2.168404344971009e-19,1.0,-0.0,1.3877787807814457e-17,accept,optimal
48,12,6,MP1,1,36,9460.0,9460.0,0.0,9460.0,0.8466403292460464,0.8466403292460464,01:M; 12:L; 13:L,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9460.0,0.0,False,,36,1.249000902703301e-16,2.168404344971009e-19,1.0,-0.0,1.249000902703301e-16,accept,optimal
49,13,7,MP2,1,36,0.5469150866641825,0.5833333333333334,0.005604628151893412,7740.0,0.5833333333333334,0.5469150866641825,01:L; 12:M; 13:L,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.5833333333333334,0.03641824666915083,True,37.0,37,-0.005604628151893318,0.0,1.0,-0.0,9.454242944073599e-17,add_cut,optimal
50,13,7,MP2,2,37,0.5469150866641825,0.5469150866641832,0.0,7740.0,0.5469150866641832,0.5469150866641825,01:L; 12:M; 13:L,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.5469150866641832,6.661338147750939e-16,False,,37,0.0,0.0,1.0,-0.0,0.0,accept,optimal
51,14,7,MP1,1,37,0.0,0.0,0.0,0.0,0.5469150866641825,0.5469150866641825,01:L; 12:L; 13:L,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,False,,37,9.71445146547012e-17,0.0,1.0,-0.0,9.71445146547012e-17,accept,optimal
